	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
515rcbc32	0.547849859233	0.466737515528	0.546606022725	0.488636254725	0.481409157408	0.543634732087	0.525309564085	0.530900796128	0.574859883096	0.462522851162	0.0	0.427515811523	0.427289635668	0.507032023098	0.455513749514	0.494872655662	0.520489525165	0.521578014077	0.550255925176	0.478392416804	0.488886290351	0.44985865984	0.508990172855	0.426391069963	0.527468524198	0.48271565314	0.466891174085	0.479255371323	0.504092845347
515rcbc8	0.535008160437	0.444557468779	0.541757247735	0.488753119953	0.457917385755	0.535625018565	0.526478097163	0.538656504993	0.587169632841	0.499864978925	0.427515811523	0.0	0.430011678914	0.508452243865	0.454094338729	0.514184503754	0.513896615386	0.527820487825	0.565962297528	0.486470032168	0.504586621189	0.461228775208	0.499823101294	0.413586407416	0.541828974712	0.460111277429	0.47680094675	0.481022721323	0.516260811868
515rcbc16	0.516665979441	0.435114612037	0.527322829427	0.465545736786	0.447740579656	0.522060882985	0.510776299406	0.521226250996	0.560495957975	0.490857260381	0.427289635668	0.430011678914	0.0	0.47933613783	0.398859699707	0.487243359619	0.490833648094	0.512088381672	0.538536921279	0.444584124667	0.479569208676	0.416065927752	0.469996367133	0.411585786822	0.51785494237	0.452375578489	0.460250198341	0.463071130373	0.499254718219
515rcbc36	0.525680088624	0.491066772133	0.577777389631	0.527157512437	0.509369920697	0.565267228981	0.566124937537	0.554367916666	0.603151713624	0.563663753097	0.507032023098	0.508452243865	0.47933613783	0.0	0.479870809648	0.527615980293	0.541135555295	0.554947266359	0.557458545256	0.512940873179	0.530604198133	0.465483919292	0.516222142358	0.485336908797	0.571330321068	0.505628700034	0.51064032395	0.516059113217	0.532095647636
515rcbc31	0.505343409826	0.457495327658	0.539783675179	0.472986394431	0.456039903509	0.52589768118	0.515275917273	0.514683802838	0.56643333989	0.519362474827	0.455513749514	0.454094338729	0.398859699707	0.479870809648	0.0	0.489547465898	0.49621571793	0.503761407972	0.525406540345	0.457480320919	0.486152414256	0.429054538378	0.461250963471	0.428389817856	0.52471357522	0.460496608349	0.470015573312	0.473269225149	0.493788972974
515rcbc22	0.473967763237	0.441626561148	0.510113839395	0.431671928154	0.459065760491	0.504762752709	0.420133837506	0.390370438467	0.471789740984	0.541390877811	0.494872655662	0.514184503754	0.487243359619	0.527615980293	0.489547465898	0.0	0.418286285412	0.413147221244	0.411454173615	0.461461549052	0.366518605866	0.445180996583	0.411889020231	0.479146913905	0.424142808626	0.436115714269	0.407036362107	0.410268872833	0.387698879459
515rcbc17	0.465702322074	0.435447901169	0.456825924333	0.414986115155	0.417410285295	0.454004642573	0.399655151299	0.419708421867	0.450528967098	0.581702161643	0.520489525165	0.513896615386	0.490833648094	0.541135555295	0.49621571793	0.418286285412	0.0	0.406281841115	0.446519294158	0.449034607145	0.4115999268	0.451522664771	0.406676070706	0.487075646499	0.423770415958	0.417796686481	0.431889310905	0.409017632523	0.410724382061
515rcbc24	0.48141287436	0.452208746757	0.476654439164	0.433362399273	0.444175988786	0.476838570969	0.373787285697	0.395138202223	0.441828713795	0.584114491465	0.521578014077	0.527820487825	0.512088381672	0.554947266359	0.503761407972	0.413147221244	0.406281841115	0.0	0.41588793286	0.475170157217	0.405091645558	0.466805995398	0.413633755636	0.491182003473	0.393866609663	0.432175164978	0.441993564996	0.41847050494	0.388214800666
515rcbc21	0.480038519808	0.493136484651	0.524351428585	0.472592068533	0.491378116612	0.508550816355	0.418170484686	0.413324612029	0.45179547866	0.59327434909	0.550255925176	0.565962297528	0.538536921279	0.557458545256	0.525406540345	0.411454173615	0.446519294158	0.41588793286	0.0	0.490496647737	0.426994692108	0.491980786703	0.444470707078	0.529815810587	0.431339265119	0.481289768848	0.463279024078	0.457236780729	0.3937697719
515rcbc10	0.502069462977	0.441640157626	0.488943654841	0.442135174334	0.43339346237	0.475065496686	0.453309890769	0.483205707213	0.49849508613	0.554520379259	0.478392416804	0.486470032168	0.444584124667	0.512940873179	0.457480320919	0.461461549052	0.449034607145	0.475170157217	0.490496647737	0.0	0.457149973082	0.434856151423	0.431084675322	0.468857295135	0.465229028856	0.453090501661	0.44818745595	0.443834664692	0.461275073803
515rcbc14	0.463143768174	0.425624341656	0.492336079709	0.421631909077	0.434486497785	0.487539368126	0.409384141993	0.402328712595	0.467530748617	0.547132734073	0.488886290351	0.504586621189	0.479569208676	0.530604198133	0.486152414256	0.366518605866	0.4115999268	0.405091645558	0.426994692108	0.457149973082	0.0	0.438213949319	0.392925673348	0.471612986662	0.418124941674	0.418845852244	0.388344558119	0.383972580335	0.371881202688
