	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
515rcbc32	0.548282787762	0.467522911645	0.546577753046	0.489195045983	0.482074831682	0.544283632363	0.524857260717	0.531126362455	0.573813500368	0.46320351539	0.0	0.425923604453	0.426634835723	0.506723350171	0.457523825659	0.495189464584	0.519730024915	0.521418133876	0.550362326296	0.47948511324	0.488102994911	0.45092661428	0.509143533687	0.427550024255	0.528273488029	0.483067067294	0.466574608351	0.478531441847	0.503098876232
515rcbc8	0.534976784422	0.445335719694	0.540913749979	0.488501553014	0.457904719032	0.535458149836	0.526011880203	0.538450125214	0.587346186565	0.500047301291	0.425923604453	0.0	0.430729827785	0.508062905767	0.454053611659	0.513941041067	0.516052965873	0.527720187049	0.565757182954	0.486633207909	0.504067488271	0.459400276337	0.500806130103	0.4135834215	0.543074561467	0.458773798171	0.476649658226	0.482970576453	0.515212473474
515rcbc16	0.517532812918	0.43381422607	0.528456051468	0.465557297709	0.447440374436	0.522284415597	0.510583478955	0.52086075778	0.560876867142	0.491462651465	0.426634835723	0.430729827785	0.0	0.478467301779	0.398427189054	0.488089768564	0.492196590026	0.510292789124	0.53883144642	0.445997448255	0.47982356676	0.416646325658	0.470141648405	0.411678959606	0.517635005002	0.452655831489	0.46070419203	0.464286726401	0.500438236045
515rcbc36	0.525027793435	0.491331065727	0.578151972585	0.526090438981	0.509187364438	0.566110314573	0.56564614549	0.553523297425	0.602206927115	0.563722002458	0.506723350171	0.508062905767	0.478467301779	0.0	0.480416790256	0.528521325075	0.541266130552	0.55433229452	0.558561131845	0.511254932168	0.530143554697	0.462789629723	0.516560707117	0.485261306817	0.572556719864	0.506510591883	0.509712874437	0.515784805855	0.531657757149
515rcbc31	0.506296739658	0.457507498151	0.540434219775	0.472311101745	0.455472000758	0.52541139621	0.512816272723	0.513982395118	0.564386043687	0.518525577733	0.457523825659	0.454053611659	0.398427189054	0.480416790256	0.0	0.488744631841	0.495135207792	0.504919433002	0.52559163231	0.45777885231	0.484304012918	0.428305591605	0.462183623158	0.429377281734	0.52312241951	0.4614526445	0.46961223293	0.475527347215	0.494359516619
515rcbc22	0.471583589428	0.442091233831	0.508715153967	0.433013777904	0.458248625546	0.50329932448	0.418463556916	0.392480364152	0.472913069681	0.540994012478	0.495189464584	0.513941041067	0.488089768564	0.528521325075	0.488744631841	0.0	0.418456381401	0.411378072951	0.410939448366	0.460857195398	0.368419799861	0.444781384802	0.412675890121	0.479246357898	0.425396559379	0.437049727428	0.406544129147	0.410112237664	0.387770186257
515rcbc17	0.466863764152	0.434529917422	0.456406039776	0.414596160654	0.419031758215	0.452728836036	0.398370257776	0.421150463379	0.451141237606	0.581017184102	0.519730024915	0.516052965873	0.492196590026	0.541266130552	0.495135207792	0.418456381401	0.0	0.406112031439	0.446216624958	0.449197023712	0.410686513486	0.45091258121	0.407659972234	0.487168981767	0.422997163572	0.421189802319	0.433787712104	0.408879473248	0.410892132702
515rcbc24	0.481987351438	0.451401900028	0.476805581819	0.434174514738	0.445207844016	0.47623820466	0.374194564537	0.396159565192	0.443544743631	0.584417011934	0.521418133876	0.527720187049	0.510292789124	0.55433229452	0.504919433002	0.411378072951	0.406112031439	0.0	0.415080079052	0.474272533997	0.405468018049	0.466528459355	0.414234769719	0.490383338523	0.394219236331	0.43149005602	0.443471222868	0.418415489977	0.387325910234
515rcbc21	0.480741495225	0.494179122139	0.524719849408	0.47073105037	0.49023316885	0.508833041172	0.419118059162	0.414201885362	0.452616398398	0.592555184336	0.550362326296	0.565757182954	0.53883144642	0.558561131845	0.52559163231	0.410939448366	0.446216624958	0.415080079052	0.0	0.489639408637	0.425798415365	0.492553417827	0.443405210487	0.531087147456	0.430135619195	0.4795630849	0.464351172632	0.457046320513	0.392880075512
515rcbc10	0.501226937247	0.44072365508	0.489088935753	0.443929330889	0.432732124516	0.475628007725	0.452250988908	0.481985989701	0.498978134134	0.554340946289	0.47948511324	0.486633207909	0.445997448255	0.511254932168	0.45777885231	0.460857195398	0.449197023712	0.474272533997	0.489639408637	0.0	0.457901226059	0.433838064697	0.432850100294	0.465800734176	0.466505121855	0.451250110096	0.448271436702	0.444144750292	0.460255358586
