	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
515rcbc32	0.292418507005	0.221817580311	0.247894064965	0.222385185263	0.206613752716	0.270967722259	0.224806771937	0.261243912597	0.277029840041	0.187042484133	0.0	0.135530217907	0.143735973142	0.422300205233	0.143555378617	0.173540350328	0.229257047334	0.231531265169	0.211794738987	0.167201169863	0.218518467363	0.153327629709	0.213600082383	0.132549372372	0.236214943368	0.194916704136	0.193244194229	0.194004346034	0.215928245984	0.241035708838
515rcbc8	0.293675723374	0.222408388048	0.245504141281	0.213082761423	0.197406917198	0.272354642515	0.231894876927	0.258289309364	0.287701713956	0.206668797531	0.135530217907	0.0	0.172975503144	0.407783940182	0.162654940872	0.203532498399	0.225380267454	0.235613021847	0.233640017342	0.170501443927	0.245911047921	0.163507840308	0.207102510025	0.149927557516	0.241508822957	0.179691510449	0.219447633428	0.230926908127	0.225574891739	0.246671335322
515rcbc16	0.277064612386	0.158847200413	0.23562635728	0.159364188093	0.149561867645	0.275634008187	0.212329217231	0.245758347913	0.270623498814	0.195840977114	0.143735973142	0.172975503144	0.0	0.407183787744	0.145068726816	0.153749227879	0.200667645401	0.215845452777	0.222840734261	0.166828479303	0.149169809246	0.138090609827	0.190247417827	0.113240146486	0.225012363201	0.161168259744	0.173995414622	0.153913412674	0.192914231086	0.216676045763
515rcbc36	0.339100367375	0.396596443683	0.497639748973	0.408345450026	0.436236474956	0.48539992408	0.471691003003	0.462548991654	0.522343872534	0.454026820865	0.422300205233	0.407783940182	0.407183787744	0.0	0.370053270844	0.444106660186	0.452669274121	0.475701532075	0.452160490354	0.409811468026	0.447253618361	0.371646825854	0.404291205298	0.377219894846	0.476725405907	0.375513673586	0.464968091407	0.468653217305	0.422201211358	0.395530058193
515rcbc31	0.253334199556	0.196200014909	0.259910242728	0.192431391039	0.190146571161	0.278772909603	0.226329115013	0.247985699104	0.279671131481	0.233698660345	0.143555378617	0.162654940872	0.145068726816	0.370053270844	0.0	0.181943967972	0.213689014413	0.221402482724	0.214051082001	0.163190525243	0.222219843747	0.108629596362	0.171329640158	0.097884654736	0.233636151314	0.153814004169	0.215711133686	0.208940792662	0.191440517303	0.209137342265
515rcbc22	0.270405914007	0.188348458735	0.22187093493	0.151642598875	0.166681099741	0.26171692861	0.151206500812	0.173990868275	0.214477351115	0.213993908857	0.173540350328	0.203532498399	0.153749227879	0.444106660186	0.181943967972	0.0	0.167507208527	0.152221255703	0.124171194254	0.144357637815	0.113109949665	0.151554057403	0.139632263126	0.154395803637	0.167392674877	0.15745672067	0.126457014036	0.117482687547	0.136421584399	0.213396967701
515rcbc17	0.324609411066	0.211274606527	0.152634628956	0.114883400028	0.15035424237	0.209030772558	0.0973991956938	0.113848080257	0.163442367959	0.289762484377	0.229257047334	0.225380267454	0.200667645401	0.452669274121	0.213689014413	0.167507208527	0.0	0.120560105804	0.190935039743	0.152812199455	0.190721980879	0.18578124682	0.14483758285	0.2103178033	0.102591652688	0.164657697649	0.172420708099	0.154296249234	0.188775337081	0.228603292895
515rcbc24	0.326634114115	0.214229342291	0.148527189928	0.151687173108	0.148631900798	0.223219003855	0.110214086505	0.151745181141	0.118369040469	0.303352948791	0.231531265169	0.235613021847	0.215845452777	0.475701532075	0.221402482724	0.152221255703	0.120560105804	0.0	0.174440869064	0.171577373139	0.190854371563	0.187112343907	0.157622809043	0.218054500623	0.105793974277	0.180572178681	0.186940688073	0.138101156238	0.163981317778	0.250010666966
515rcbc21	0.269283207749	0.216016996844	0.233123181339	0.18303644913	0.200504354386	0.246043977678	0.139904723455	0.181994715612	0.192241393056	0.277968924993	0.211794738987	0.233640017342	0.222840734261	0.452160490354	0.214051082001	0.124171194254	0.190935039743	0.174440869064	0.0	0.15023853062	0.196620816815	0.186436776646	0.15709089351	0.210712450162	0.165616911277	0.18660925834	0.208585523965	0.171502082888	0.11950606469	0.226361086631
515rcbc10	0.252291607583	0.170219167764	0.172102385037	0.141133905934	0.141343806352	0.215133164394	0.14656798498	0.188291316736	0.204331591401	0.257344314959	0.167201169863	0.170501443927	0.166828479303	0.409811468026	0.163190525243	0.144357637815	0.152812199455	0.171577373139	0.15023853062	0.0	0.193600327775	0.131044207996	0.127903874946	0.161626226598	0.165181186744	0.141716425609	0.176216874575	0.15701404566	0.154497502671	0.199952760349
