	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_7008_7.txt	7008	7	6188.68421053	3348.29691877	3362.20858896	4019.38032787	3545.04761905	3074.87719298	3380.15877437	3912.2	3494.2384106	3535.9625	3257.83076923	3676.85234899	3636.7	3029.36986301	3714.11221122	3453.7641196	3894.7028754	3720.71854305	3239.55514706	3299.74750831	3654.58139535	4400.24776119	3525.7615894	3703.88135593	3315.60207612	3812.30635838	3920.33333333	3473.4295082	3163.96750903
alpha_rarefaction_7008_8.txt	7008	8	6477.00934579	3379.51923077	3724.78169014	4124.78929766	3240.29881657	3239.38223938	3524.94736842	3931.55102041	3756.29454545	3286.43478261	3072.35836177	3841.18037975	3435.50294118	3014.78318584	3426.37460317	3713.90169492	3986.29824561	3638.96084337	3171.15017065	3626.075	3426.815625	3985.80285714	3515.2808642	3604.83121019	3646.66304348	3793.81626506	3671.23684211	3531.79069767	3066.03873239
alpha_rarefaction_7008_9.txt	7008	9	6686.02208202	3770.74061433	3415.81694915	3749.35042735	3509.11627907	3184.80565371	3481.50877193	4135.98850575	3691.65413534	3111.95985401	3024.5326087	3525.96439169	3790.44522968	2745.1015625	3659.1627907	3430.55517241	3851.28571429	3865.49077491	3265.03345725	3548.78057554	3593.83121019	4235.59701493	3381.15625	3593.79552716	3362.12621359	4060.5015674	3577.78547855	3508.44761905	3055.33774834
alpha_rarefaction_10507_0.txt	10507	0	8016.88861386	4218.5848564	3881.94736842	4864.98473282	3822.38970588	4014.18694362	4187.46683047	4888.3415978	4294.41853933	3588.79614325	3793.17973856	4256.0691358	4489.4151436	3481.01923077	4167.25271739	4195.80719794	5033.27192982	4179.83547558	3634.52923977	3973.83471074	4124.41176471	4804.76303318	4549.79301075	4535.52043597	4267.43731778	4330.77777778	4455.32048193	4237.09898477	3800.85840708
alpha_rarefaction_10507_1.txt	10507	1	8439.36934673	4158.46031746	4513.02162162	4804.31967213	4025.61538462	3804.18079096	4542.82198953	4542.71573604	4484.27192982	3582.56287425	3692.6554878	4190.37408313	4102.83649289	3571.54180602	4428.56091371	4220.23955432	5068.76704545	4442.71875	4056.2238806	3973.02997275	4259.78873239	4586.43844492	4358.65853659	4491.51666667	4092.20833333	4402.18409091	4381.29113924	4241.93715847	3677.04373178
alpha_rarefaction_10507_2.txt	10507	2	8189.46454768	4335.96073298	4147.40789474	4699.39473684	4148.8908046	3922.15406977	4361.56030151	4615.99152542	4324.75968992	3566.66081871	3618.02932551	4301.28191489	4373.3125	3047.3427673	4473.69405099	4033.03013699	4844.03571429	4308.44125326	3778.38968481	3993.67567568	4131.66336634	4578.91823899	4129.80526316	4275.09756098	4156.02083333	4196.70068027	4302.22797927	4316.47645429	3540.86702128
alpha_rarefaction_10507_3.txt	10507	3	9104.17032967	4152.98694517	4396.62130178	4675.37142857	4135.68698061	3937.6160221	4245.03740648	5217.02906977	4526.03003003	3549.76971609	3528.75637394	3965.76412776	4268.30845771	3258.50943396	4492.76300578	4344.78846154	4978.46590909	4184.57407407	3975.50146628	4111.55027933	4335.28759894	4592.35172414	4062.39268293	4190.52475248	3973.5078534	4674.37931034	4455.6875	4247.5596817	3732.00864553
alpha_rarefaction_10507_4.txt	10507	4	8766.88135593	4472.24340176	4347.66666667	4922.7254902	4022.55497382	3997.88888889	4279.93846154	4620.87362637	4333.30662983	3745.50837989	3706.41104294	3806.27688787	4391.01822917	3486.29113924	4400.28532609	4325.96590909	4773.0	4493.35734072	3632.15014164	4095.94505495	4030.89552239	5043.42409639	4423.25277778	4336.34677419	3908.01912568	4815.8125	4512.08031088	4448.16045845	3674.16066482
alpha_rarefaction_10507_5.txt	10507	5	8600.90291262	4093.0	4344.05915493	5067.73638968	4016.0	4086.67295597	4791.03305785	4877.69251337	4389.32676056	3776.59813084	3631.025	4066.44444444	4180.37142857	3273.04776119	4383.91666667	4215.18320611	4671.15890411	4263.6625	3833.24545455	4134.00292398	4104.04632153	4721.72706935	4124.85233161	4329.50381679	3878.25	4647.87593052	4074.00257069	4072.03797468	3905.85302594
alpha_rarefaction_10507_6.txt	10507	6	8501.22962963	4463.70491803	4251.45231608	4835.48041775	3955.5	4187.93457944	4241.24804178	4585.15890411	4386.71467391	3848.19061584	3767.86461538	3957.08219178	4493.97014925	3206.68035191	4520.5309973	4344.34375	4858.48739496	4469.66037736	3653.73214286	3900.32876712	3977.57070707	4941.56730769	4449.48618785	4812.75931232	4237.87537092	4669.00485437	4196.47858942	4205.85254692	3825.12676056
