	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_7008_8.txt	7008	8	39.98495	39.83435	37.01387	39.71515	38.65983	35.8292	39.62544	37.41738	35.23579	29.86742	33.56259	35.34908	37.84401	30.63787	35.23631	38.69971	39.16846	40.38508	36.9507	39.45466	38.96547	39.00397	38.23937	35.95084	38.58941	38.69282	38.10677	39.02244	37.78477
alpha_rarefaction_7008_9.txt	7008	9	40.11612	40.58872	36.68465	38.64307	37.28049	34.24597	40.48247	37.23559	33.94346	29.56277	32.42871	35.57236	35.44004	31.56534	34.85149	39.36615	39.69149	37.49475	37.88419	38.97379	38.90471	39.492	39.88586	36.01373	36.96906	39.72124	36.69522	39.22048	37.87585
alpha_rarefaction_10507_0.txt	10507	0	45.10353	43.26647	38.80072	43.87455	41.23229	39.38506	44.15917	40.27613	38.04484	31.51692	35.55802	37.55164	40.15069	34.2645	37.52988	42.33653	43.02457	43.2647	40.25327	42.2416	42.44451	42.65092	42.6228	39.91785	41.31677	42.43275	41.4729	43.52111	39.95142
alpha_rarefaction_10507_1.txt	10507	1	46.31709	42.29451	39.88974	44.01242	42.05728	39.11559	42.83939	40.39308	38.48462	31.76588	35.80301	37.78982	39.79447	32.68209	40.32358	41.14497	43.1056	42.26564	41.43712	41.87984	42.19599	43.40472	42.04766	39.01508	41.45589	42.64233	39.65777	42.99544	41.43586
alpha_rarefaction_10507_2.txt	10507	2	44.36317	42.93729	41.49175	43.10538	41.02919	39.49699	42.41265	40.11804	39.2837	33.06763	35.61357	38.34195	40.12993	31.87813	39.71842	40.17068	43.93166	42.02116	40.77696	43.04346	41.45236	42.7312	42.43786	40.22539	41.85004	41.50207	41.15997	43.51392	42.43854
alpha_rarefaction_10507_3.txt	10507	3	43.64644	42.57226	39.60594	41.69351	42.3535	40.14502	43.90418	40.76859	40.19211	31.57006	37.51072	38.13134	40.27035	32.11306	38.44418	41.8488	42.77954	42.66601	40.81527	42.41315	42.00844	41.38875	43.17522	40.1047	41.53758	43.00002	39.45091	44.38709	42.33358
alpha_rarefaction_10507_4.txt	10507	4	44.50625	42.32321	38.81425	41.88949	42.68594	38.15965	43.3161	40.62037	37.98265	32.06554	35.42703	38.13686	40.22182	32.9496	39.25766	40.18418	42.46913	42.28523	40.07663	42.21169	42.02433	42.64917	42.93711	38.95514	39.33754	41.30126	40.70107	42.47314	41.60544
alpha_rarefaction_10507_5.txt	10507	5	46.07525	42.25629	38.88807	43.15681	41.58769	38.98745	42.3405	39.58813	38.69982	32.14511	36.89956	36.53052	38.97454	34.09308	38.17808	43.6532	41.96809	42.19282	40.46102	41.95198	41.58845	41.7846	41.62459	40.96836	41.10711	41.52933	41.08692	43.84826	42.25912
alpha_rarefaction_10507_6.txt	10507	6	45.87586	42.58857	40.49226	42.20178	42.30491	40.32187	42.93164	39.6848	41.20594	31.61997	36.00802	38.70293	40.00401	33.96117	39.71197	41.55439	41.42018	42.45755	40.40341	42.39582	43.65234	43.17262	42.96424	39.65336	42.4233	42.29383	39.54036	42.69053	41.48211
alpha_rarefaction_10507_7.txt	10507	7	44.86662	42.0093	38.21639	43.61377	41.79448	39.10559	42.87516	39.83692	38.33754	30.46454	35.4987	38.37562	40.07604	31.96981	37.42845	42.30681	43.42747	41.10874	40.49347	41.26292	42.30602	41.6306	43.14586	38.89643	41.64668	42.02781	41.52509	45.00426	40.80617
